Shortcut,Action,Application,OS,Category,Description,Frequency
Alt+F21,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F22,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F23,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F24,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+0,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+A,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+B,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+C,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+D,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+E,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+G,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+H,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+I,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+J,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+K,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+L,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+M,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+N,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+O,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+P,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+Q,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+R,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+S,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+T,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+U,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+V,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+W,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+X,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+Y,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+Z,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F10,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F11,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F12,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F13,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F14,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F15,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F16,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F17,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F18,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F19,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F20,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F21,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F22,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F23,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+F24,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+0,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Shift+9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+A,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+B,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+C,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+D,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+E,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+G,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+H,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+I,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+J,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+K,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+L,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+M,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+N,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+O,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+P,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+Q,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+R,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+S,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+T,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+U,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+V,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+W,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+X,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+Y,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+Z,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F10,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F11,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F12,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F13,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F14,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F15,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F16,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F17,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F18,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F19,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F20,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F21,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F22,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F23,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+F24,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+0,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Cmd+9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
